throughput	time
92290.467	2019-08-25T23:40:33.000Z
83404.266	2019-08-25T23:41:03.000Z
95197	2019-08-25T23:41:33.000Z
93268.5	2019-08-25T23:42:03.000Z
76817.033	2019-08-25T23:42:33.000Z
82579.433	2019-08-25T23:43:03.000Z
77063.667	2019-08-25T23:43:33.000Z
74136.667	2019-08-25T23:44:03.000Z
71404.267	2019-08-25T23:44:33.000Z
70095.2	2019-08-25T23:45:03.000Z
89375.067	2019-08-25T23:45:33.000Z
66744.3	2019-08-25T23:46:03.000Z
74238.834	2019-08-25T23:46:33.000Z
71857	2019-08-25T23:47:03.000Z
82083.3	2019-08-25T23:47:33.000Z
74305.066	2019-08-25T23:48:03.000Z
85116.5	2019-08-25T23:48:33.000Z
78754.133	2019-08-25T23:49:03.000Z
89749	2019-08-25T23:49:33.000Z
100799.366	2019-08-25T23:50:03.000Z
86194.633	2019-08-25T23:50:33.000Z
85377.9	2019-08-25T23:51:03.000Z
88846.433	2019-08-25T23:51:33.000Z
67256.734	2019-08-25T23:52:03.000Z
72491.666	2019-08-25T23:52:33.000Z
68127.1	2019-08-25T23:53:03.000Z
75404.867	2019-08-25T23:53:33.000Z
77174.434	2019-08-25T23:54:03.000Z
83529.533	2019-08-25T23:54:33.000Z
88311.567	2019-08-25T23:55:03.000Z
82841.833	2019-08-25T23:55:33.000Z
68082.333	2019-08-25T23:56:03.000Z
69959.1	2019-08-25T23:56:33.000Z
66847.233	2019-08-25T23:57:03.000Z
69201.566	2019-08-25T23:57:33.000Z
65821.334	2019-08-25T23:58:03.000Z
85051.967	2019-08-25T23:58:33.000Z
77141.333	2019-08-25T23:59:03.000Z
67999.666	2019-08-25T23:59:33.000Z
67113.7	2019-08-26T00:00:03.000Z
63461.167	2019-08-26T00:00:33.000Z
61210.4	2019-08-26T00:01:03.000Z
59321.433	2019-08-26T00:01:33.000Z
65700.733	2019-08-26T00:02:03.000Z
83688.8	2019-08-26T00:02:33.000Z
73112.567	2019-08-26T00:03:03.000Z
92088.734	2019-08-26T00:03:33.000Z
76976.367	2019-08-26T00:04:03.000Z
92238.933	2019-08-26T00:04:33.000Z
76612.8	2019-08-26T00:05:03.000Z
78072.7	2019-08-26T00:05:33.000Z
66966.534	2019-08-26T00:06:03.000Z
77027.4	2019-08-26T00:06:33.000Z
56989.5	2019-08-26T00:07:03.000Z
66113.667	2019-08-26T00:07:33.000Z
70416.034	2019-08-26T00:08:03.000Z
58432.5	2019-08-26T00:08:33.000Z
62144.534	2019-08-26T00:09:03.000Z
62576.167	2019-08-26T00:09:33.000Z
59104.6	2019-08-26T00:10:03.000Z
61575.834	2019-08-26T00:10:33.000Z
73588.667	2019-08-26T00:11:03.000Z
85620.734	2019-08-26T00:11:33.000Z
82783.733	2019-08-26T00:12:03.000Z
71740.233	2019-08-26T00:12:33.000Z
65330.167	2019-08-26T00:13:03.000Z
95415.834	2019-08-26T00:13:33.000Z
99656.2	2019-08-26T00:14:03.000Z
74537.534	2019-08-26T00:14:33.000Z
78505.233	2019-08-26T00:15:03.000Z
66492.433	2019-08-26T00:15:33.000Z
64259.266	2019-08-26T00:16:03.000Z
11750.867	2019-08-26T00:16:33.000Z
4869.8	2019-08-26T00:17:03.000Z
2104.867	2019-08-26T00:17:33.000Z
1437.234	2019-08-26T00:18:03.000Z
303.567	2019-08-26T00:18:33.000Z
1431.6	2019-08-26T00:19:03.000Z
369.333	2019-08-26T00:19:33.000Z
1556.433	2019-08-26T00:20:03.000Z
24114.767	2019-08-26T00:20:33.000Z
77747.034	2019-08-26T00:21:03.000Z
92461.333	2019-08-26T00:21:33.000Z
74506.8	2019-08-26T00:22:03.000Z
81723.367	2019-08-26T00:22:33.000Z
82265.2	2019-08-26T00:23:03.000Z
80143.334	2019-08-26T00:23:33.000Z
76108.5	2019-08-26T00:24:03.000Z
81027.1	2019-08-26T00:24:33.000Z
85398.734	2019-08-26T00:25:03.000Z
91492.466	2019-08-26T00:25:33.000Z
75104.767	2019-08-26T00:26:03.000Z
67577.4	2019-08-26T00:26:33.000Z
69565.667	2019-08-26T00:27:03.000Z
78190.967	2019-08-26T00:27:33.000Z
85663.433	2019-08-26T00:28:03.000Z
80863.333	2019-08-26T00:28:33.000Z
90780.567	2019-08-26T00:29:03.000Z
85551.8	2019-08-26T00:29:33.000Z
94088.867	2019-08-26T00:30:03.000Z
96508	2019-08-26T00:30:33.000Z
75227.067	2019-08-26T00:31:03.000Z
87115.234	2019-08-26T00:31:33.000Z
77669.2	2019-08-26T00:32:03.000Z
74684.733	2019-08-26T00:32:33.000Z
81280.434	2019-08-26T00:33:03.000Z
82930.633	2019-08-26T00:33:33.000Z
85390.534	2019-08-26T00:34:03.000Z
